Port,Time,Data,Tire ID,lib ver,sensor v,receive v,pressure,z-axis,x-axis,volt(V),temp(กษ),frame id,crc,rssi,period(ms)
1,11-04  01:33:33,EFM1[KUMHO110087A90C9E246B000100E400FBB04FB0186A00C6],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.250,2.98,24.0,45080,00,-58,10298
2,11-04  01:33:34,EFM2[KUMHO110087A90C04246B000100E900FCB04FDCDE6A00BD],87A90C04,24,1.0.7,1.0.6,-2.4,22.00,3.583,2.98,24.0,56542,00,-67,10161
1,11-04  01:33:35,EFM1[KUMHO110087A90C87246B000100E400FCB052E33A6A00BD],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,27.0,58170,00,-67,10113
2,11-04  01:33:35,EFM2[KUMHO110087A90C87246B000100E400FCB052E33A6A00BB],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,27.0,58170,00,-69,2
2,11-04  01:33:35,EFM2[KUMHO110087A92031246B000100E100FAAF511A956A00B9],87A92031,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.97,26.0,6805,00,-71,10252
2,11-04  01:33:36,EFM2[KUMHO110087A90D9A246B0001010B00FAB051CA806A00D0],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.917,2.98,26.0,51840,00,-48,10039
1,11-04  01:33:36,EFM1[KUMHO110087A90D9A246B0001010B00FAB051CA806A00D4],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.917,2.98,26.0,51840,00,-44,1
2,11-04  01:33:37,EFM2[KUMHO110087A91CB2246B0002011B00FFB04EC6F06A00C1],87A91CB2,24,1.0.7,1.0.6,-2.0,72.00,4.582,2.98,23.0,50928,00,-63,10221
1,11-04  01:33:37,EFM1[KUMHO110087A91CB2246B0002011B00FFB04EC6F06A00BC],87A91CB2,24,1.0.7,1.0.6,-2.0,72.00,4.582,2.98,23.0,50928,00,-68,2
2,11-04  01:33:38,EFM2[KUMHO110087A90D98246B0001010D00FC9E51C5B46A00B5],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.8,26.0,50612,00,-75,10126
1,11-04  01:33:39,EFM1[KUMHO110087A91543246B000100E900FBB15166226A00C4],87A91543,24,1.0.7,1.0.6,-2.4,22.00,3.250,2.99,26.0,26146,00,-60,10375
2,11-04  01:33:39,EFM2[KUMHO110087A91B39246B0002010E00FBAF51602A6A00C0],87A91B39,24,1.0.7,1.0.6,-2.0,59.00,3.250,2.97,26.0,24618,00,-64,10161
1,11-04  01:33:39,EFM1[KUMHO110087A91B39246B0002010E00FBAF51602A6A00B9],87A91B39,24,1.0.7,1.0.6,-2.0,59.00,3.250,2.97,26.0,24618,00,-71,2
2,11-04  01:33:40,EFM2[KUMHO110087A90CCF246B000100E000FAAA4E52746A00B6],87A90CCF,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.92,23.0,21108,00,-74,10100
1,11-04  01:33:40,EFM1[KUMHO110087A90CCF246B000100E000FAAA4E52746A00B8],87A90CCF,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.92,23.0,21108,00,-72,2
2,11-04  01:33:41,EFM2[KUMHO110087A91C14246B000100E500FDB050CA5A6A00C5],87A91C14,24,1.0.7,1.0.6,-2.4,18.00,3.916,2.98,25.0,51802,00,-59,10069
2,11-04  01:33:42,EFM2[KUMHO110087A90C83246B000100DF00FAB151B8F46A00BD],87A90C83,24,1.0.7,1.0.6,-2.4,12.00,2.917,2.99,26.0,47348,00,-67,10239
1,11-04  01:33:42,EFM1[KUMHO110087A90C83246B000100DF00FAB151B8F46A00C6],87A90C83,24,1.0.7,1.0.6,-2.4,12.00,2.917,2.99,26.0,47348,00,-58,1
1,11-04  01:33:43,EFM1[KUMHO110087A90C9C246B000100E500FAB04FF48D6A00C4],87A90C9C,24,1.0.7,1.0.6,-2.4,18.00,2.917,2.98,24.0,62605,00,-60,10081
2,11-04  01:33:43,EFM2[KUMHO110087A90C9C246B000100E500FAB04FF48D6A00BE],87A90C9C,24,1.0.7,1.0.6,-2.4,18.00,2.917,2.98,24.0,62605,00,-66,1
2,11-04  01:33:44,EFM2[KUMHO110087A90C9E246B000100E400FCB04FB0196A00C3],87A90C9E,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,24.0,45081,00,-61,10304
2,11-04  01:33:44,EFM2[KUMHO110087A90C04246B000100E800FDB04FDCDF6A00BD],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,3.916,2.98,24.0,56543,00,-67,10154
1,11-04  01:33:44,EFM1[KUMHO110087A90C04246B000100E800FDB04FDCDF6A00BD],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,3.916,2.98,24.0,56543,00,-67,1
1,11-04  01:33:45,EFM1[KUMHO110087A90C87246B000100E400FCB051E33B6A00BC],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,58171,00,-68,10115
2,11-04  01:33:46,EFM2[KUMHO110087A92031246B000100E100FAAF511A966A00B9],87A92031,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.97,26.0,6806,00,-71,10250
1,11-04  01:33:46,EFM1[KUMHO110087A92031246B000100E100FAAF511A966A00BD],87A92031,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.97,26.0,6806,00,-67,2
2,11-04  01:33:46,EFM2[KUMHO110087A90D9A246B0001010B00FAB051CA816A00CE],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.917,2.98,26.0,51841,00,-50,10039
1,11-04  01:33:46,EFM1[KUMHO110087A90D9A246B0001010B00FAB051CA816A00D4],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.917,2.98,26.0,51841,00,-44,1
1,11-04  01:33:47,EFM1[KUMHO110087A91CB2246B0002011C00FEB04EC6F16A00BC],87A91CB2,24,1.0.7,1.0.6,-2.0,73.00,4.249,2.98,23.0,50929,00,-68,10225
2,11-04  01:33:47,EFM2[KUMHO110087A91CB2246B0002011C00FEB04EC6F16A00C0],87A91CB2,24,1.0.7,1.0.6,-2.0,73.00,4.249,2.98,23.0,50929,00,-64,2
2,11-04  01:33:49,EFM2[KUMHO110087A90D98246B0001010D00FC9E50C5B56A00B9],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.8,25.0,50613,00,-71,10125
1,11-04  01:33:49,EFM1[KUMHO110087A90D98246B0001010D00FC9E50C5B56A00C4],87A90D98,24,1.0.7,1.0.6,-2.4,58.00,3.583,2.8,25.0,50613,00,-60,1
1,11-04  01:33:49,EFM1[KUMHO110087A91543246B000100E900FBB15166236A00C4],87A91543,24,1.0.7,1.0.6,-2.4,22.00,3.250,2.99,26.0,26147,00,-60,10341
2,11-04  01:33:49,EFM2[KUMHO110087A91543246B000100E900FBB15166236A00C4],87A91543,24,1.0.7,1.0.6,-2.4,22.00,3.250,2.99,26.0,26147,00,-60,3
2,11-04  01:33:50,EFM2[KUMHO110087A91B39246B0001010D00FBAF51602B6A00C0],87A91B39,24,1.0.7,1.0.6,-2.4,58.00,3.250,2.97,26.0,24619,00,-64,10161
1,11-04  01:33:50,EFM1[KUMHO110087A91B39246B0001010D00FBAF51602B6A00B8],87A91B39,24,1.0.7,1.0.6,-2.4,58.00,3.250,2.97,26.0,24619,00,-72,1
1,11-04  01:33:50,EFM1[KUMHO110087A90CCF246B000100E000FAAA4E52756A00B8],87A90CCF,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.92,23.0,21109,00,-72,10100
2,11-04  01:33:50,EFM2[KUMHO110087A90CCF246B000100E000FAAA4E52756A00B5],87A90CCF,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.92,23.0,21109,00,-75,1
2,11-04  01:33:51,EFM2[KUMHO110087A91C14246B000100E500FCB050CA5B6A00C5],87A91C14,24,1.0.7,1.0.6,-2.4,18.00,3.583,2.98,25.0,51803,00,-59,10070
