,Time,Data,tire id,lib ver,sensor ver,receiver ver,pressure,z-axis,x-axis,volt (V),temp (°C),frame id,crc,rssi,period(ms)
1761,10-30 16:33:44:754,"[KUMHO110087A90D9A246B0001010B00FCB05326DD6A00B1]
",87A90D9A,24,1.0.7,1.0.6,0.0,1.388,-0.211,2.98,28.0,9949,00,-79,10017
1762,10-30 16:33:45:856,"[KUMHO110087A90C87246B000100E400FCB05340D96A00A6]
",87A90C87,24,1.0.7,1.0.6,0.0,-3.214,-0.211,2.98,28.0,16601,00,-90,10097
1763,10-30 16:33:45:952,"[KUMHO110087A90C9C246B000200E400FBB053516F6A00AB]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.214,-0.25,2.98,28.0,20847,00,-85,10065
1764,10-30 16:33:46:175,"[KUMHO110087A91543246B000100E900FBB053C7626A00B1]
",87A91543,24,1.0.7,1.0.6,0.0,-2.624,-0.25,2.98,28.0,51042,00,-79,10337
1765,10-30 16:33:46:272,"[KUMHO110087A92031246B000100E100FBAF537A656A00A9]
",87A92031,24,1.0.7,1.0.6,0.0,-3.568,-0.25,2.97,28.0,31333,00,-87,10225
1766,10-30 16:33:46:639,"[KUMHO110087A90D98246B0001010E00FD9F5223846A00A2]
",87A90D98,24,1.0.7,1.0.6,0.0,1.742,-0.172,2.81,27.0,9092,00,-94,10113
1767,10-30 16:33:48:572,"[KUMHO110087A90C83246B000100E000FBB053188D6A00B2]
",87A90C83,24,1.0.7,1.0.6,0.0,-3.686,-0.25,2.98,28.0,6285,00,-78,10225
1768,10-30 16:33:49:355,"[KUMHO110087A91B39246B0002010D00FAAF53BE746A00A6]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.289,2.97,28.0,48756,00,-90,10145
1769,10-30 16:33:49:387,"[KUMHO110087A90C04246B000100F700FEB0533ADF6A009B]
",87A90C04,24,1.0.7,1.0.6,0.0,-0.972,-0.133,2.98,28.0,15071,00,-101,10129
1770,10-30 16:33:49:451,"[KUMHO110087A90C9E246B000200E300FCB05310556A00A3]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.332,-0.211,2.98,28.0,4181,00,-93,10273
1771,10-30 16:33:52:439,"[KUMHO110087A91CB2246B0001011C00FFB05025EF6A00A6]
",87A91CB2,24,1.0.7,1.0.6,0.0,3.394,-0.094,2.98,25.0,9711,00,-90,10209
1772,10-30 16:33:54:212,"[KUMHO110087A91C14246B000100E500FCAF5227256A00BB]
",87A91C14,24,1.0.7,1.0.6,0.0,-3.096,-0.211,2.97,27.0,10021,00,-69,10065
1773,10-30 16:33:54:627,"[KUMHO110087A90CCF246B000100E100FBAB51AF886A00AC]
",87A90CCF,24,1.0.7,1.0.6,0.0,-3.568,-0.25,2.93,26.0,44936,00,-84,10080
1774,10-30 16:33:54:771,"[KUMHO110087A90D9A246B0001010B00FBB05326DE6A00B1]
",87A90D9A,24,1.0.7,1.0.6,0.0,1.388,-0.25,2.98,28.0,9950,00,-79,10016
1775,10-30 16:33:55:954,"[KUMHO110087A90C87246B000100E400FCB05340DA6A00A6]
",87A90C87,24,1.0.7,1.0.6,0.0,-3.214,-0.211,2.98,28.0,16602,00,-90,10098
1776,10-30 16:33:56:017,"[KUMHO110087A90C9C246B000100E400FAB05351706A00AB]
",87A90C9C,24,1.0.7,1.0.6,0.0,-3.214,-0.289,2.98,28.0,20848,00,-85,10064
1777,10-30 16:33:56:512,"[KUMHO110087A92030AAAAAA02020202250F522A866A01A5]
",87A92030,AA,1.7.0,1.0.6,4342.8,30.534,11.372,1.37,27.0,10886,01,-91,0
1778,10-30 16:33:56:752,"[KUMHO110087A90D98246B0001010D00FD9F5223856A00A5]
",87A90D98,24,1.0.7,1.0.6,0.0,1.624,-0.172,2.81,27.0,9093,00,-91,10113
1779,10-30 16:33:58:797,"[KUMHO110087A90C83246B000100E000FBB053188E6A00B5]
",87A90C83,24,1.0.7,1.0.6,0.0,-3.686,-0.25,2.98,28.0,6286,00,-75,10224
1780,10-30 16:33:59:500,"[KUMHO110087A91B39246B0002010D00FAAF53BE756A00A9]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.289,2.97,28.0,48757,00,-87,10145
1781,10-30 16:33:59:723,"[KUMHO110087A90C9E246B000200E400FCB05310566A00A8]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.214,-0.211,2.98,28.0,4182,00,-88,10272
1782,10-30 16:34:02:647,"[KUMHO110087A91CB2246B0002011B00FFB05025F06A00A3]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.276,-0.094,2.98,25.0,9712,00,-93,10208
1783,10-30 16:34:04:261,"[KUMHO110087A91C14246B000100E500FDAF5327266A00BB]
",87A91C14,24,1.0.7,1.0.6,0.0,-3.096,-0.172,2.97,28.0,10022,00,-69,10049
1784,10-30 16:34:04:692,"[KUMHO110087A90CCF246B000100E100FBAB51AF896A00AF]
",87A90CCF,24,1.0.7,1.0.6,0.0,-3.568,-0.25,2.93,26.0,44937,00,-81,10065
1785,10-30 16:34:04:788,"[KUMHO110087A90D9A246B0001010B00FCB05326DF6A00A5]
",87A90D9A,24,1.0.7,1.0.6,0.0,1.388,-0.211,2.98,28.0,9951,00,-91,10017
1786,10-30 16:34:06:066,"[KUMHO110087A90C82AA2A080000000094344064C16A01A6]
",87A90C82,AA,-,1.9.3,204.3,-30.118,-4.267,1.74,9.0,27137,01,-90,0
1787,10-30 16:34:06:738,"[KUMHO110087A92031246B000100E100FAB0537A676A00A7]
",87A92031,24,1.0.7,1.0.6,0.0,-3.568,-0.289,2.98,28.0,31335,00,-89,20465
1788,10-30 16:34:06:850,"[KUMHO110087A91543246B000100E900FBB053C7646A00B5]
",87A91543,24,1.0.7,1.0.6,0.0,-2.624,-0.25,2.98,28.0,51044,00,-75,20674
1789,10-30 16:34:09:022,"[KUMHO110087A90C83246B000100E000FBB053188F6A00B6]
",87A90C83,24,1.0.7,1.0.6,0.0,-3.686,-0.25,2.98,28.0,6287,00,-74,10225
1790,10-30 16:34:09:629,"[KUMHO110087A91B2820280000000C0039A84020326A01A8]
",87A91B28,20,-,5.0,0.1,-28.702,-7.816,2.9,9.0,27137,01,-88,0
1791,10-30 16:34:09:997,"[KUMHO110087A90C9E246B000200E300FBB15310576A00A9]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.332,-0.25,2.99,28.0,4183,00,-87,10273
1792,10-30 16:34:12:841,"[KUMHO110087A91CB2246B0001011B00FFB05025F16A00A1]
",87A91CB2,24,1.0.7,1.0.6,0.0,3.276,-0.094,2.98,25.0,9713,00,-95,10193
1793,10-30 16:34:14:311,"[KUMHO110087A91C14246B000100E500FCAF5227276A00BB]
",87A91C14,24,1.0.7,1.0.6,0.0,-3.096,-0.211,2.97,27.0,10023,00,-69,10049
